1.8099,0.48503,-1.0097,-2.4683,-3.6734
1.7787,0.44703,-1.0495,-2.5042,-3.6998
1.7473,0.40891,-1.0893,-2.5399,-3.7259
1.7157,0.37068,-1.129,-2.5755,-3.7517
1.6838,0.33234,-1.1687,-2.6108,-3.7771
1.6518,0.2939,-1.2084,-2.646,-3.8022
1.6194,0.25535,-1.248,-2.6809,-3.827
1.5869,0.2167,-1.2876,-2.7157,-3.8514
1.5542,0.17796,-1.3271,-2.7502,-3.8755
1.5212,0.13913,-1.3666,-2.7846,-3.8993
1.488,0.10022,-1.406,-2.8187,-3.9227
1.4547,0.061214,-1.4453,-2.8526,-3.9458
1.4211,0.022131,-1.4846,-2.8863,-3.9685
1.3873,-0.017027,-1.5238,-2.9198,-3.9909
1.3533,-0.056259,-1.5629,-2.953,-4.0129
1.3191,-0.095559,-1.6019,-2.9861,-4.0345
1.2847,-0.13492,-1.6409,-3.0188,-4.0558
1.2501,-0.17435,-1.6798,-3.0514,-4.0767
1.2153,-0.21384,-1.7185,-3.0837,-4.0973
1.1804,-0.25338,-1.7572,-3.1157,-4.1175
1.1452,-0.29296,-1.7958,-3.1476,-4.1373
1.1099,-0.3326,-1.8342,-3.1791,-4.1568
1.0744,-0.37228,-1.8726,-3.2104,-4.1758
1.0387,-0.41199,-1.9109,-3.2414,-4.1945
1.0029,-0.45174,-1.949,-3.2722,-4.2128
0.96686,-0.49152,-1.987,-3.3027,-4.2307
0.93069,-0.53133,-2.0249,-3.333,-4.2482
0.89436,-0.57116,-2.0626,-3.3629,-4.2654
0.85786,-0.61101,-2.1003,-3.3926,-4.2821
0.82122,-0.65088,-2.1378,-3.422,-4.2985
0.78442,-0.69076,-2.1751,-3.4511,-4.3144
0.74748,-0.73064,-2.2123,-3.48,-4.33
0.71039,-0.77053,-2.2494,-3.5085,-4.3451
0.67316,-0.81042,-2.2863,-3.5367,-4.3598
0.63579,-0.8503,-2.323,-3.5647,-4.3742
0.59829,-0.89018,-2.3596,-3.5923,-4.3881
0.56066,-0.93004,-2.396,-3.6197,-4.4016
0.52291,-0.96988,-2.4322,-3.6467,-4.4147
0.48503,-1.0097,-2.4683,-3.6734,-4.4274
0.44703,-1.0495,-2.5042,-3.6998,-4.4396
0.40891,-1.0893,-2.5399,-3.7259,-4.4515
0.37068,-1.129,-2.5755,-3.7517,-4.4629
0.33234,-1.1687,-2.6108,-3.7771,-4.4739
0.2939,-1.2084,-2.646,-3.8022,-4.4845
0.25535,-1.248,-2.6809,-3.827,-4.4946
0.2167,-1.2876,-2.7157,-3.8514,-4.5043
0.17796,-1.3271,-2.7502,-3.8755,-4.5136
0.13913,-1.3666,-2.7846,-3.8993,-4.5224
0.10022,-1.406,-2.8187,-3.9227,-4.5308
0.061214,-1.4453,-2.8526,-3.9458,-4.5388
0.022131,-1.4846,-2.8863,-3.9685,-4.5463
-0.017027,-1.5238,-2.9198,-3.9909,-4.5534
-0.056259,-1.5629,-2.953,-4.0129,-4.5601
-0.095559,-1.6019,-2.9861,-4.0345,-4.5663
-0.13492,-1.6409,-3.0188,-4.0558,-4.572
-0.17435,-1.6798,-3.0514,-4.0767,-4.5773
-0.21384,-1.7185,-3.0837,-4.0973,-4.5822
-0.25338,-1.7572,-3.1157,-4.1175,-4.5866
-0.29296,-1.7958,-3.1476,-4.1373,-4.5906
-0.3326,-1.8342,-3.1791,-4.1568,-4.5941
-0.37228,-1.8726,-3.2104,-4.1758,-4.5971
-0.41199,-1.9109,-3.2414,-4.1945,-4.5997
-0.45174,-1.949,-3.2722,-4.2128,-4.6019
-0.49152,-1.987,-3.3027,-4.2307,-4.6036
-0.53133,-2.0249,-3.333,-4.2482,-4.6048
-0.57116,-2.0626,-3.3629,-4.2654,-4.6056
-0.61101,-2.1003,-3.3926,-4.2821,-4.6059
-0.65088,-2.1378,-3.422,-4.2985,-4.6057
-0.69076,-2.1751,-3.4511,-4.3144,-4.6051
-0.73064,-2.2123,-3.48,-4.33,-4.6041
-0.77053,-2.2494,-3.5085,-4.3451,-4.6025
-0.81042,-2.2863,-3.5367,-4.3598,-4.6005
-0.8503,-2.323,-3.5647,-4.3742,-4.598
-0.89018,-2.3596,-3.5923,-4.3881,-4.5951
-0.93004,-2.396,-3.6197,-4.4016,-4.5917
-0.96988,-2.4322,-3.6467,-4.4147,-4.5879
-1.0097,-2.4683,-3.6734,-4.4274,-4.5835
-1.0495,-2.5042,-3.6998,-4.4396,-4.5787
-1.0893,-2.5399,-3.7259,-4.4515,-4.5735
-1.129,-2.5755,-3.7517,-4.4629,-4.5677
-1.1687,-2.6108,-3.7771,-4.4739,-4.5615
-1.2084,-2.646,-3.8022,-4.4845,-4.5548
